 created by the TBmodels package    Fri, 25 Jul 2025 17:51:57 JST
           8
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -1    0    2    8    1      0.00000000000000     -0.00000000000000
   -1    0    2    1    2      0.00000000000000     -0.00000000000000
   -1    0    2    2    2      0.00000000000000     -0.00000000000000
   -1    0    2    3    2      0.00000000000000     -0.00000000000000
   -1    0    2    4    2      0.00000000000000     -0.00000000000000
   -1    0    2    5    2      0.00000000000000     -0.00000000000000
   -1    0    2    6    2      0.00000000000000     -0.00000000000000
   -1    0    2    7    2      0.00000000000000     -0.00000000000000
   -1    0    2    8    2      0.00000000000000     -0.00000000000000
   -1    0    2    1    3      0.00000000000000     -0.00000000000000
   -1    0    2    2    3      0.00000000000000     -0.00000000000000
   -1    0    2    3    3      0.00000000000000     -0.00000000000000
   -1    0    2    4    3      0.00000000000000     -0.00000000000000
   -1    0    2    5    3      0.00000000000000     -0.00000000000000
   -1    0    2    6    3      0.00000000000000     -0.00000000000000
   -1    0    2    7    3      0.00000000000000     -0.00000000000000
   -1    0    2    8    3      0.00000000000000     -0.00000000000000
   -1    0    2    1    4      0.00000000000000     -0.00000000000000
   -1    0    2    2    4      0.00000000000000     -0.00000000000000
   -1    0    2    3    4      0.00000000000000     -0.00000000000000
   -1    0    2    4    4      0.00000000000000     -0.00000000000000
   -1    0    2    5    4      0.00000000000000     -0.00000000000000
   -1    0    2    6    4      0.00000000000000     -0.00000000000000
   -1    0    2    7    4      0.00000000000000     -0.00000000000000
   -1    0    2    8    4      0.00000000000000     -0.00000000000000
   -1    0    2    1    5     -0.00209532859080     -0.00000000000000
   -1    0    2    2    5     -0.00392096913290      0.00000000000000
   -1    0    2    3    5      0.00007677650804      0.00000000000000
   -1    0    2    4    5     -0.00038994249425     -0.00000000000000
   -1    0    2    5    5      0.00000000000000     -0.00000000000000
   -1    0    2    6    5      0.00000000000000     -0.00000000000000
   -1    0    2    7    5      0.00000000000000     -0.00000000000000
   -1    0    2    8    5      0.00000000000000     -0.00000000000000
   -1    0    2    1    6      0.00392096913290      0.00000000000000
   -1    0    2    2    6      0.02330342095020      0.00000000000000
   -1    0    2    3    6      0.00059918980797      0.00000000000000
   -1    0    2    4    6      0.00189626584612     -0.00000000000000
   -1    0    2    5    6      0.00000000000000     -0.00000000000000
   -1    0    2    6    6      0.00000000000000     -0.00000000000000
   -1    0    2    7    6      0.00000000000000     -0.00000000000000
   -1    0    2    8    6      0.00000000000000     -0.00000000000000
   -1    0    2    1    7     -0.00007677650804      0.00000000000000
   -1    0    2    2    7      0.00059918980797     -0.00000000000000
   -1    0    2    3    7     -0.00379789762871     -0.00000000000000
   -1    0    2    4    7     -0.00403335896394     -0.00000000000000
   -1    0    2    5    7      0.00000000000000     -0.00000000000000
   -1    0    2    6    7      0.00000000000000     -0.00000000000000
   -1    0    2    7    7      0.00000000000000     -0.00000000000000
   -1    0    2    8    7      0.00000000000000     -0.00000000000000
   -1    0    2    1    8      0.00038994249425     -0.00000000000000
   -1    0    2    2    8      0.00189626584612      0.00000000000000
   -1    0    2    3    8     -0.00403335896394      0.00000000000000
   -1    0    2    4    8     -0.00372022571633     -0.00000000000000
   -1    0    2    5    8      0.00000000000000     -0.00000000000000
   -1    0    2    6    8      0.00000000000000     -0.00000000000000
   -1    0    2    7    8      0.00000000000000     -0.00000000000000
   -1    0    2    8    8      0.00000000000000     -0.00000000000000
   -1    1    0    1    1     -0.00542313225200     -0.00000000000000
   -1    1    0    2    1      0.00013307993636     -0.00000000000000
   -1    1    0    3    1      0.00013307993636      0.00000000000000
   -1    1    0    4    1      0.01000615339330      0.00000000000000
   -1    1    0    5    1      0.00000000000000     -0.00000000000000
   -1    1    0    6    1      0.00000000000000     -0.00000000000000
   -1    1    0    7    1      0.00000000000000     -0.00000000000000
   -1    1    0    8    1      0.00000000000000     -0.00000000000000
   -1    1    0    1    2     -0.00013307993636     -0.00000000000000
   -1    1    0    2    2     -0.12352303917319     -0.00000000000000
   -1    1    0    3    2     -0.03333188267838     -0.00000000000000
   -1    1    0    4    2      0.00017851194243      0.00000000000000
   -1    1    0    5    2      0.00000000000000     -0.00000000000000
   -1    1    0    6    2      0.00000000000000     -0.00000000000000
   -1    1    0    7    2      0.00000000000000     -0.00000000000000
   -1    1    0    8    2      0.00000000000000     -0.00000000000000
   -1    1    0    1    3     -0.00013307993636      0.00000000000000
   -1    1    0    2    3     -0.03333188267838      0.00000000000000
   -1    1    0    3    3     -0.12352303917319     -0.00000000000000
   -1    1    0    4    3      0.00017851194243     -0.00000000000000
   -1    1    0    5    3      0.00000000000000     -0.00000000000000
   -1    1    0    6    3      0.00000000000000     -0.00000000000000
   -1    1    0    7    3      0.00000000000000     -0.00000000000000
   -1    1    0    8    3      0.00000000000000     -0.00000000000000
   -1    1    0    1    4     -0.01000615339330      0.00000000000000
   -1    1    0    2    4      0.00017851194243     -0.00000000000000
   -1    1    0    3    4      0.00017851194243      0.00000000000000
   -1    1    0    4    4      0.29133988306273      0.00000000000000
   -1    1    0    5    4      0.00000000000000     -0.00000000000000
   -1    1    0    6    4      0.00000000000000     -0.00000000000000
   -1    1    0    7    4      0.00000000000000     -0.00000000000000
   -1    1    0    8    4      0.00000000000000     -0.00000000000000
   -1    1    0    1    5     -0.49142027196898     -0.00000000000000
